seed,R_core,t_Ain,t_B,t_Aout,sAin,sigmaR,-log(bg),SSE
1.030000000000000000e+02,1.765625000000000000e+02,3.664062500000000000e+01,1.096875000000000000e+02,5.921875000000000000e+01,4.226562499999999556e-01,1.019531250000000056e-01,3.085937500000000000e+00,6.122111978849651033e-03
1.000000000000000000e+01,1.156250000000000000e+02,1.057031250000000000e+02,8.976562500000000000e+01,5.789062500000000000e+01,3.597656249999999778e-01,1.511718750000000111e-01,3.132812500000000000e+00,2.736368743132076495e-02
1.100000000000000000e+01,8.593750000000000000e+01,1.269531250000000000e+02,6.984375000000000000e+01,1.150000000000000000e+02,1.820312500000000056e-01,2.003906250000000167e-01,3.531250000000000000e+00,1.831044401202640629e-02
1.200000000000000000e+01,1.406250000000000000e+02,7.781250000000000000e+01,9.375000000000000000e+01,6.718750000000000000e+01,3.624999999999999334e-01,1.265624999999999944e-01,3.109375000000000000e+00,9.531695248878261501e-03
1.300000000000000000e+01,8.593750000000000000e+01,1.402343750000000000e+02,6.453125000000000000e+01,1.150000000000000000e+02,2.777343749999999778e-01,2.109375000000000000e-01,3.460937500000000000e+00,2.858114481125226952e-02
1.400000000000000000e+01,8.437500000000000000e+01,1.389062500000000000e+02,5.789062500000000000e+01,1.189843750000000000e+02,2.285156250000000000e-01,2.285156250000000000e-01,4.023437500000000000e+00,3.899532308330579816e-02
1.500000000000000000e+01,8.125000000000000000e+01,1.269531250000000000e+02,8.312500000000000000e+01,9.242187500000000000e+01,2.093750000000000056e-01,2.320312499999999944e-01,3.226562500000000000e+00,2.233081737397483654e-02
1.600000000000000000e+01,7.500000000000000000e+01,1.070312500000000000e+02,1.057031250000000000e+02,8.843750000000000000e+01,1.109375000000000083e-01,2.531249999999999889e-01,3.132812500000000000e+00,1.997759640981941476e-02
1.700000000000000000e+01,8.281250000000000000e+01,1.030468750000000000e+02,9.773437500000000000e+01,9.640625000000000000e+01,1.000000000000000056e-01,1.898437500000000056e-01,3.179687500000000000e+00,9.760448514744689275e-03
1.800000000000000000e+01,7.500000000000000000e+01,1.468750000000000000e+02,6.851562500000000000e+01,1.030468750000000000e+02,2.503906249999999778e-01,2.531249999999999889e-01,3.390625000000000000e+00,2.699920108744287978e-02
